Participant	Concept	sadness	shame	anger	pride
20	trouble	3.33	1.14	-2.06	-3.27
21	death	1.27	-2.26	-3.06	-1.97
21	carefree	-4.29	4.77	6.09	-1.17
21	good	-2.51	-0.40	-0.51	-2.69
21	cruelty	-4.24	1.52	1.33	1.98
21	praise	-0.94	2.20	0.76	0.77
21	trouble	-9.63	-0.31	2.20	3.58
22	death	3.07	-3.46	-3.86	-2.20
22	carefree	-1.18	-3.78	-1.24	-0.78
22	good	1.90	2.91	-2.08	-3.11
22	cruelty	4.33	1.76	-2.14	-0.66
22	praise	-0.72	3.12	5.73	1.71
22	trouble	1.50	2.21	3.16	4.69
23	death	-7.04	0.53	4.00	5.64
23	carefree	-2.59	0.02	0.20	2.77
23	good	-1.71	-0.05	0.60	3.14
23	cruelty	3.69	1.94	-0.19	-2.82
23	praise	3.30	3.22	1.54	-3.08
23	trouble	1.36	0.06	0.51	-1.04
24	death	2.07	-0.14	1.74	-4.96
24	carefree	-1.29	0.77	0.18	-1.04
24	good	3.20	1.91	-2.94	-4.12
24	cruelty	-0.89	0.15	2.07	-0.96
24	praise	-1.69	0.07	0.75	3.25
24	trouble	-2.22	-3.05	0.93	1.45
25	death	-1.56	-1.28	-2.89	-3.09
25	carefree	7.43	-1.00	-2.26	-2.03
25	good	-2.35	-0.36	1.05	1.31
25	cruelty	0.46	-1.15	1.90	-1.16
25	praise	2.49	4.59	4.73	3.91
25	trouble	2.87	-0.53	-1.56	2.24
26	death	-6.42	-0.65	2.73	-2.88
26	carefree	4.00	-0.03	-2.09	1.47
26	good	3.25	0.28	0.85	-2.43
26	cruelty	-5.41	0.12	0.43	-0.60
26	praise	-2.21	1.13	1.95	2.15
26	trouble	-7.09	-3.76	2.04	-0.08
27	death	3.04	-2.22	-4.86	3.38
27	carefree	1.53	0.99	0.50	-1.16
27	good	-1.45	3.00	2.25	3.91
27	cruelty	-1.02	3.97	4.88	-0.76
27	praise	0.96	-1.28	-0.08	-0.37
27	trouble	-5.65	-0.21	4.96	2.92
28	death	-3.65	0.14	-0.41	-1.36
28	carefree	-3.78	-0.41	0.87	1.14
28	good	0.99	1.74	0.24	-0.86
28	cruelty	-1.58	0.97	0.08	-0.36
28	praise	0.94	0.78	-2.28	-3.25
28	trouble	-1.88	-0.63	1.77	3.72
29	death	-2.96	1.38	2.80	-0.16
29	carefree	-8.91	0.81	4.40	4.30
29	good	-1.55	2.07	1.79	-0.04
29	cruelty	-5.22	1.84	2.79	-0.02
29	praise	-0.95	-0.37	0.73	0.58
29	trouble	0.13	-0.95	-2.02	1.59
30	death	-3.00	-0.66	1.44	1.61
30	carefree	-8.00	1.56	2.50	0.29
30	good	1.19	-0.38	-1.27	-0.88
30	cruelty	1.71	-1.20	-3.53	-2.01
30	praise	-0.65	0.83	0.86	1.71
30	trouble	0.05	1.39	1.57	-0.35
31	death	5.04	1.14	0.28	-1.14
31	carefree	4.96	0.21	-0.66	-3.28
31	good	-1.18	-0.67	-6.17	2.02
31	cruelty	0.94	0.23	1.36	-0.59
31	praise	-10.28	-1.05	1.87	5.86
31	trouble	-3.30	-3.23	2.42	0.80
32	death	3.97	-2.68	-4.10	-0.77
32	carefree	6.05	-1.01	-1.42	-0.54
32	good	0.69	3.30	1.18	1.47
32	cruelty	1.29	-0.94	-1.14	-3.55
32	praise	1.45	0.23	1.58	-2.35
32	trouble	-3.07	1.19	3.17	3.57
33	death	-1.84	-0.25	-0.03	1.17
33	carefree	3.49	-2.05	-1.62	1.09
33	good	1.53	2.66	2.61	-4.39
33	cruelty	0.18	2.97	2.28	-0.99
33	praise	-0.17	0.65	0.74	1.07
33	trouble	-1.73	-1.11	0.94	-2.35
34	death	-0.48	-2.34	-1.33	4.90
34	carefree	-11.11	-1.57	0.65	4.57
34	good	1.39	-1.06	-4.44	0.82
34	cruelty	-0.86	3.41	3.53	-5.32
34	praise	-1.54	6.76	5.82	-4.43
34	trouble	3.98	-0.64	1.51	3.52
